JPWORD,ENGWORD
兼任,Concurrent post
椅子,Chair
マーケット,market
指,finger
ファイナル,final
学年,School year
共和党,republican party
史料,Historical materials
一体,Together
学問,academics
市川,Ichikawa
昼,noon
四郎,Shiro
船体,hull
前回,last time
タワー,tower
コマンド,command
長編,long story
活,life
化す,become
総務,general affairs
上京,Kamigyo
遥か,far
もし,if
あ,a
ゴールデン,golden
引き上げる,Pull up
期限,deadline
典型,typical
崇,Takashi
伯爵,earl
定数,constant
馬場,Baba
抜ける,get out
ジョー,Joe
ハート,heart
かい,shellfish
電化,electrification
菊,chrysanthemum
変動,Fluctuation
シンガー,singer
無視,ignore
物資,supplies
航,voyage
学位,degree
研修,training
五輪,Olympics
小倉,Kokura
揃う,Arrange
甲斐,Kai
闘争,struggle
夫婦,couple
岡田,Okada
堅い,hard
氏,Mr.
ジェット,jet
上田,Ueda
唱える,recite
最中,Monaka
親しむ,become familiar with
コントロール,Control
人権,human rights
中島,Nakajima
ダウンロード,download
没年,year of death
割り当てる,assign
立地,Location
バレエ,ballet
死者,dead
濃度,concentration
略歴,Biography
融合,fusion
特典,Benefits
着手,Start
ウィリアムズ,williams
皇后,empress
籍,Registration
村上,Murakami
師範,Master
ポンド,lb
シャー,Shah
教科,Subject
限,Limited
総会,general meeting
併設,Attached
丘陵,hills
法則,law
注ぐ,pour
議,discussion
合衆国,united states
弦,string
アレンジ,arrange
プレーオフ,play off
入植,settlement
衣,clothing
ガン,gun
休む,rest
沿線,Along the line
倒れる,fall down
登記,registration
コンクール,competition
最小,minimum
最古,oldest
打点,RBI
予測,prediction
強調,Emphasis
武士,samurai
高齢,old age
高田,Takada
ディズニー,disney
ライフ,life
外側,outside
投,throw
琉球,Ryukyu
島根,Shimane
領主,lord
横須賀,Yokosuka
証,proof
洪水,flood
ボート,boat
鷹,hawk
大変,hard
黄色,yellow
佐々木,Sasaki
楽しむ,enjoy
タクシー,taxi
付加,addition
広まる,spread
登山,mountain climbing
中退,Dropout
成田,Narita
怪獣,monster
歴,history
キャスター,caster
しかも,"Moreover,"
改装,renovation
校長,principal
比率,ratio
細川,Hosokawa
メタル,metal
驚く,surprised
装飾,decoration
盛期,peak season
掛かる,It takes
魂,soul
紫,purple
ユーゴスラビア,Yugoslavia
巣,nest
覚える,learn by heart
誘う,invite
緒戦,early battle
尽力,effort
断る,turn down
意向,inclination
救助,rescue
参入,entry
山頂,mountaintop
コア,core
オプション,option
要,Essential
幼い,young
フォーク,fork
斜,Oblique
控える,refrain
検索,search
成人,adult
パネル,panel
見直す,review
避難,evacuation
岬,cape
ストリート,street
擁する,embrace
特集,Special feature
マリー,marie
打ち切る,abort
強いる,force
人目,first person
ハッキリ,clearly
乾燥,drying
冬季,winter
ヨハン,Johan
支流,tributary
金曜,Friday
ポート,port
庭,garden
律,law
外れる,Comes off
恒星,fixed star
生存,survival
鍵,key
選考,Selection
樹立,establishment
ロス,Loss
主宰,Presiding over
事項,matter
引用,Quote
信濃,Shinano
台詞,lines
和田,Wada
休,Closed
実況,Live commentary
配列,array
減らす,reduce
オン,on
売上,Earnings
大野,Ohno
同等,equivalent
ローラー,roller
周り,around
ボーナス,Bonus
着陸,landing
行列,queue
アドレス,address
アルコール,alcohol
努力,effort
公社,public corporation
シドニー,sydney
原則として→原則 として,in principle → in principle
容疑,suspicion
コンクリート,concrete
プレイステーション,playstation
撃破,Destroy
隊員,member
就職,find work
協奏曲,Concerto
軌,track
ヒーロー,Hero
糸,thread
夫妻,husband and wife
互いに,each other
腹,stomach
消える,disappear
中核,core
ファースト,first
内側,inside
保管,storage
東大,University of Tokyo
重複,Duplication
現す,manifest
風景,landscape
近衛,Konoe
杉,Cedar
ケン,Ken
液体,liquid
阻止,prevention
アラビア,arabic
地中海,mediterranean
ミュージカル,musical
墓地,cemetery
閉じる,close
駐,Station
台風,typhoon
アダルト,adult
看護,Nurse
フィラデルフィア,Philadelphia
何故,why
発す,emit
大宮,Omiya
櫨,Haze
従業,employee
フレーム,flame
ラブ,love
実は,actually
総長,president
大島,Oshima
各社,Companies
モンスター,monster
感情,emotions
態度,attitude
出土,excavated
もちろん,of course
辻,Tsuji
日産,nissan
フェスティバル,festival
中川,Nakagawa
塗る,paint
乗降,Getting on and off
下流,downstream
東急,Tokyu
札,bill
エリザベス,elizabeth
法的,legal
鱒,trout
アウト,out
隠居,Retirement
馬力,horsepower
補佐,assistant
牧場,ranch
天使,angel
東芝,Toshiba
此の際,At this time
刺激,stimulation
田村,Tamura
条例,ordinance
質問,question
ニック,Nick
青い,blue
親衛隊,SS
薩摩,Satsuma
分散,dispersion
無,Nothing
ピーター,peter
療法,therapy
厳密,strict
保証,guarantee
此の後,After this
順次,sequentially
帆,sail
後退,Recession
所長,chief
退社,Leaving the company
技法,technique
トイレ,toilet
ドキュメンタリー,documentary
管弦,Orchestra
蹴る,kick
滅亡,destruction
方程式,equation
弓,bow
博多,Hakata
海域,sea ​​area
解雇,dismissal
浩,Hiroshi
営む,operate
先生,teacher
豊臣,Toyotomi
任す,leave it to me
省略,omission
単語,word
小野,Ono
左翼,left wing
冒頭,beginning
クーデター,coup d'etat
不振,Poor performance
応募,Apply
マイクロ,micro
漁業,fishing
出産,childbirth
結晶,crystal
発注,order
寄付,Donation
刺す,stab
皮,leather
函館,Hakodate
返還,return
当然,Of course
ラリー,rally
ゾーン,zone
蜂,bee
招待,invitation
内蔵,Built-in
当地,Local
野村,Nomura
ダブル,double
不良,defective
シャルル,charles
流用,diversion
ホンダ,Honda
オハイオ,Ohio
甥,nephew
後年,later in life
飯,food
オーナー,owner
道具,tool
昇,Noboru
統制,control
蘭,Orchid
スタンド,stand
不安,anxiety
儀,Ceremony
創造,creation
彩,Aya
石井,Ishii
幼稚園,kindergarten
創建,Founding
電圧,Voltage
維新,Meiji Restoration
主任,chief
なり,become
静,Silence
修復,repair
交わす,dodge
秘書,secretary
犯人,culprit
水平,horizontal
決する,decide
視点,perspective
辞職,Resignation
ブルース,Blues
発覚,discovery
象,elephant
ヒロイン,heroine
カテゴリー,Category
河口,estuary
嵐,storm
季,season
今回,this time
幹,stem
従五位,Junior Fifth Rank
大韓民国,South Korea
適す,suitable
深刻,serious
民営,Privately run
三浦,Miura
代々,From generation to generation
有利,advantageous
デイヴィッド,david
鎮圧,suppression
プロモーション,promotion
呼び掛ける,call out
稲,Rice
三男,Third son
寄与,contribution
ダイヤモンド,diamond
変形,deformation
永禄,Eiroku
穂,Ear
溝,groove
都心,city ​​center
水準,level
マスコミ,mass media
著す,write
告げる,tell
インター,Inter
銭,money
挑む,challenge
文芸,literature
舞,dance
庁舎,Government building
新作,New work
拳,fist
ハム,ham
福音,gospel
プロセッサ,processor
賠償,compensation
近江,Omi
窓口,window
壊滅,Destruction
サークル,Circle
ガソリン,gasoline
バルセロナ,Barcelona
同意,agree
衣装,costume
美濃,Mino
品質,quality
抑制,Suppression
恋人,lover
幹線,main line
降下,descent
海兵,marine
刻む,carve
残,Residue
次官,Deputy Minister
プレミア,premier
幕末,end of the Edo period
保健,health
割く,divide
キューバ,Cuba
部下,subordinate
撃墜,shot down
忘れる,forget
変身,Transform
毎回,every time
学区,school district
太子,prince
講演,Lecture
石炭,coal
序,Preface
筆頭,First place
警戒,vigilance
劇中,In the play
朝廷,imperial court
ドラム,drum
ノミネート,nomination
プレート,plate
示唆,suggestion
譜,Musical score
立体,three-dimensional
重なる,Overlap
虐殺,massacre
徒歩,on foot
本国,home country
テーブル,table
間違う,make a mistake
休日,holiday
対空,anti-aircraft
出撃,sortie
党員,party member
加賀,Kaga
庭園,garden
首位,First place
パック,pack
修行,training
暗号,cryptography
顕著,remarkable
確実,certainty
州立,state
暗,dark
中でも,Among them
ステップ,step
メイト,mate
フライ,fly
公務,public affairs
削除,delete
トランス,Trance
神聖,sacred
心臓,heart
焼失,Burnt down
ヘリコプター,helicopter
ジャーナリスト,journalist
浜松,Hamamatsu
配慮,consideration
老朽,old age
彗星,Comet
双子,twins
知り合う,get acquainted
還元,reduction
我々,we
プロテスタント,Protestant
敏,Astute
後ろ,behind
切,Cut
要する,It takes
三振,strikeout
商標,trademark
クリスマス,Christmas
従,subordinate
歩,Ayumu
競合,Conflict
膝,knees
乗務,Crew
福田,Fukuda
解任,dismissal
受章,Awarded
ピン,pin
淳,Jun
将校,officer
レール,rail
見出だす,discover
頼る,rely
味方,Ally
老,old man
説得,persuasion
日野,Hino
住友,Sumitomo
航行,navigation
斎藤,Saito
家老,chief retainer
役員,board member
長岡,Nagaoka
博す,Expand
三河,Mikawa
高架,elevated
元素,element
侵略,invasion
密,dense
全般,General
聴く,listen
紋章,coat of arms
麻,hemp
権威,authority
奪取,seizure
空手,karate
撃沈,sinking
広大,Vast
京阪,Keihan
寮,dormitory
カーブ,curve
チェーン,chain
マサチューセッツ,massachusetts
長女,eldest daughter
三島,Mishima
治安,Public order
港湾,port
庵,Hermitage
仕掛ける,set up
開ける,Open
西方,west
懸念,concern
ゴールド,gold
マイナー,minor
行方,whereabouts
艦艇,warship
シリア,Syria
先立つ,precede
駿,Shun
マップ,map
重力,gravity
見込む,anticipate
不能,inability
輩出,Output
柄,pattern
ペンシルベニア,Pennsylvania
ライヴ,Live
通路,aisle
砲兵,artillery
陰,shadow
付与,Grant
折る,fold
緩和,relief
並べる,line up
バランス,balance
猪,boar
会津,Aizu
刑務所,prison
人事,human resources
安政,Ansei
及ぼす,affect
陸地,land
ニッポン,Japan
錦,Nishiki
真珠,pearl
木造,wooden
感覚,feelings
転用,diversion
退く,retreat
都合,convenience
介入,intervention
アテネ,athens
株主,shareholder
護,protection
要望,request
やってくる,coming
断念,give up
リスク,risk
フォー,Four
歌謡,Song
蓋,lid
個別,Individual
調教,Training
犬種,Dog breed
看板,signboard
カンパニー,company
ジョーンズ,jones
潮,tide
熱帯,tropical
髪,hair
全部,All
シンボル,symbol
先住,indigenous
大尉,captain
社団,association
茎,stem
城主,castle lord
特撮,special effects
班,group
プラットフォーム,platform
内陸,inland
検定,Certification
ビール,Beer 
クリス,Chris
甲府,Kofu
坂本,Sakamoto
ユナイテッド,united
充てる,allocate
ラッシュ,rush
身分,status
三木,Miki
没,death
海水,sea ​​water
階段,stairs
アーケード,arcade
スコット,Scott
不正,fraud
現状,current situation
タイガース,tigers
施工,construction
演説,speech
定年,retirement age
公爵,duke
ランプ,lamp
マンション,apartment
オー,Oh
市販,Commercially available
鍋,pot
福山,Fukuyama
マルクス,Marx
マルチ,multi
実践,practice
人材,human resources
兵力,military strength
殿堂,hall of fame
水産,Fisheries
パーツ,parts
コール,call
ギタリスト,guitarist
定員,Capacity
格闘技,martial arts
雰囲気,atmosphere
パイプ,pipe
降る,fall
蛇,snake
最強,strongest
博覧,exposition
直ちに,right away
針,needle
スカウト,scout
実在,reality
蜂起,uprising
芸名,stage name
マネージャー,manager
年次,annual
遠い,far
砂漠,desert
汚染,pollution
力士,Sumo wrestler
青春,youth
調達,procurement
考古学,archeology
貧困,poverty
結う,tie
振動,vibration
グラフィック,graphic
海賊,pirate
スリー,Three
採択,Adoption
本店,Main store
栄養,nutrition
山下,Yamashita
充実,fulfillment
王立,royal
捕手,catcher
アシスタント,assistant
表紙,cover
食事,meal
所蔵,Collection
仕組む,arrange
府立,Prefectural
プール,pool
勉強,study
肖像,portrait
中盤,midfield
下がる,go down
平面,Plane
土佐,Tosa
耐える,endure
盆地,basin
季節,season
民衆,people
朗,Akira
ロードレース,Road race
先輩,senior
後藤,Goto
演習,exercises
講座,Course
軽い,light
訳す,translate
釈放,release
延伸,stretching
国務,national affairs
二郎,Jiro
野田,Noda
修道,monasticism
恒,permanent
出店,Opening a store
借りる,borrow
医薬,medicine
追,Follow up
気動車,diesel car
州都,state capital
水系,water system
個々,individual
淵,abyss
毒,poison
推理,Reasoning
キャッチ,catch
ビーチ,beach
契機,Opportunity
失点,Conceded points
取り戻す,regain
和歌,Waka
食料,food
ポップ,pop
月下,Under the moon
原料,material
袋,bag
ゲート,Gate
併用,Combined use
チリ,Chile
交戦,engagement
繊維,fiber
力学,mechanics
大蔵,Okura
小田原,Odawara
プログラミング,programming
平行,parallel
正室,legal wife
並びに,and
言,words
貫通,penetration
出入,Entrance/exit
評判,reputation
小山,small mountain
下げる,lower
沈没,sinking
阿部,Abe
スポット,spot
前日,The day before
救援,relief
ひろ,Hiro
近付く,approach
厩舎,stable
品種,variety
著者,author
植える,Plant
会話,conversation
ベクトル,vector
作画,drawing
電池,battery
演算,Calculation
所持,Possession
介す,mediate
専念,dedicated
嫌う,hate
党首,party leader
月曜,Monday
受容,acceptance
京成,Keisei
略す,Omit
対処,handle
完結,Completed
挙,Encounter
野生,wild
チャンピオンシップ,Championship
警視,Superintendent
乗員,Crew
会談,meeting
抜擢,selection
日光,sunlight
大学校,University
弾薬,ammunition
撃つ,shoot
多用,heavy use
ハリウッド,Hollywood
逃す,miss
犯,crime
白色,White
山中,Yamanaka
寛政,Kansei
冷却,cooling
ストレート,straight
延期,postponement
入院,hospitalization
メス,female
定理,theorem
神田,Kanda
垂直,vertical
進歩,progress
藤田,Fujita
中等,middle school
恩,Thanks
知名度,popularity
愛す,love
曲線,curve
アンテナ,antenna
ゴム,rubber
ハインリヒ,heinrich
河原,riverbed
排出,discharge
ヴェネツィア,venice
早期,early
予約,reservation
岡崎,Okazaki
栗,chestnut
学長,President
教区,parish
顧客,client
課長,Manager
姫路,Himeji
原型,prototype
残留,residual
弱,weak
官位,official rank
貝,shellfish
不治,Incurable
教養,education
ヴァン,van
不思議,wonder
ゲージ,gauge
車庫,garage
データベース,database
マネジメント,management
貴重,valuable
背番号,Uniform number
キャプテン,captain
復元,restoration
不安定,unstable
上方,Upward
少佐,Major
法令,laws and regulations
変数,variable
別れる,break up
化石,fossil
慣れる,get used to it
謙,Ken
サーキット,circuit
ファンタジー,fantasy
辰,Dragon
出生,Birth
都立,Metropolitan
妙,Strange
チャンピオンズ,champions
光学,optics
住所,address
国産,Domestic production
突撃,assault
反撃,counterattack
純粋,pure
ジョージア,georgia
丈,height
出口,Exit
各々,Each
小泉,Koizumi
宿泊,stay
妨害,obstruction
技師,engineer
もっと,more
起動,boot
越後,Echigo
苦しむ,suffer
在任,tenure
藩士,samurai
統括,Supervision
アトランタ,atlanta
浅草,Asakusa
我,I
運,luck
開戦,Start of war
金額,Amount of money
日立,Hitachi
制約,constraints
イスラーム,islam
詞,words
対称,symmetry
年金,pension
発動,Activation
ジャイアンツ,giants
富む,rich
母音,vowel
青木,Aoki
鎖,chain
豊田,Toyota
シェア,share
麓,foot of the mountain
賛成,agreement
近藤,Kondo
増強,Augmentation
地獄,hell
ホームページ,home page
門下,disciple
尽くす,do everything
リゾート,resort
理想,ideal
被災,disaster victim
観音,Kannon
ザクセン,saxony
対照,contrast
探査,exploration
伊豆,Izu
ドコモ,docomo
得票,votes
水中,underwater
年初,beginning of the year
拘束,restraint
滑走,gliding
歯科,dental
ロッテ,Lotte
レーシング,racing
生き残る,survive
盾,shield
徹,Tooru
劣る,inferior
女神,Goddess
通学,Commuting to school
燃焼,combustion
頂点,vertex
バイク,bike
恐怖,fear
何も,nothing
燕,swallow
起訴,indictment
反射,reflection
細菌,bacteria
集会,gathering
ノー,No
ドラえもん,Doraemon
語源,Etymology
乳,milk
コンテナ,container
皇子,prince
改訂,revision
路面,road surface
範,Range
精度,accuracy
月中,During the month
川上,Kawakami
吉本,Yoshimoto
損失,loss
熊野,Kumano
講義,lecture
農林,Agriculture and forestry
貨車,Freight car
盛岡,Morioka
エレベーター,elevator
さくら,cherry blossoms
冷房,cooling
ターボ,turbo
砲弾,cannonball
斗,Doo
気圧,atmospheric pressure
務,duties
高崎,Takasaki
セントラル,Central
アレクサンドル,alexandre
ショート,short
債務,debt
大いに,greatly
メロディ,Melody
ロイヤル,royal
脅威,threat
ラスト,last
吉野,Yoshino
鼻,nose
王妃,queen
ベルト,belt
筑波,Tsukuba
晒す,expose
ノース,north
成り立つ,Established
マケドニア,Macedonia
マドリード,madrid
ミドル,Middle
アラン,Alan
結び付く,connect
開館,Opening
プラン,plan
大津,Otsu
学士,bachelor's degree
イエス,Jesus
予告,Notice
アンリ,Henri
シュート,shoot
バンク,bank
メアリー,mary
イリノイ,illinois
工科,Engineering
産む,give birth
行使,exercise
解く,solve
アーサー,arthur
ピエール,Pierre
臨む,face
写す,copy
バレー,valley
細かい,Detailed
歌舞伎,kabuki
胴体,body
笠,Kasa
促す,prompt
チャンス,chance
一気,all at once
支線,branch line
科目,Subject
生年,year of birth
執る,take
格納,Store
仮想,virtuality
絡む,get involved
ミステリー,mystery
中学生,Middle school students
今度,next time
小笠原,Ogasawara
載せる,put on
ピンク,pink
識別,identification
亮,Ryo
ネ,Ne
ダメージ,damage
テキスト,text
外見,appearance
回答,Answer
広報,public relations
発する,emit
バン,van
筒,tube
鯨,whale
フランツ,Franz
磁気,magnetic
三角,triangle
境内,Precinct
橘,Tachibana
闇,darkness
支社,Branch office
チェンジ,change
閲覧,View
皮膚,Skin
綴る,spell
実戦,actual battle
動かす,move
医学部,Faculty of Medicine
長谷川,Hasegawa
奨励,encouragement
領地,territory
立法,legislation
近世,The early modern period
代行,agency
包む,wrap
レスリング,wrestling
年半,a year and a half
所得,income
菜,Vegetables
通商,trade
ピアニスト,pianist
キーボード,keyboard
英文,English
偶然,coincidence
チップ,chip
歌唱,singing
筆,brush
策定,formulation
本数,Number
繁,Shigeru
特異,singular
遭遇,encounter
跨がる,straddle
固める,harden
品川,Shinagawa
安価,cheap
諏訪,Suwa
極端,extreme
菓子,confectionery
儀式,ritual
スコア,Score
法廷,courtroom
ローズ,rose
天気,weather
強度,Strength
ユーロ,EUR
あくまで,Only
浮上,levitation
晩,night
母体,mother body
噛む,bite
臨床,clinical
魅力,charm
上述,mentioned above
行える,can be done
チャレンジ,challenge
グレート,Great
アイデア,idea
熱心,enthusiastic
等しい,equal
飯田,Iida
一揆,uprising
強豪,mighty
砂糖,sugar
桐,Paulownia
カルロス,Carlos
ソース,sauce
懲役,imprisonment
宙,space
招集,Convocation
葡萄,grapes
オレンジ,orange
勾配,Slope
ピーク,peak
専属,Exclusive
リレー,relay
信ずる,believe
さいたま,Saitama
ウェールズ,wales
ボクサー,boxer
減,decrease
棚,shelf
喜ぶ,be happy
無効,invalid
呈す,present
歩行,walking
アール,R
検証,verification
ドラ,Dora
珈琲,coffee
繁栄,prosperity
明日,tomorrow
正義,justice
倒産,bankruptcy
幻,illusion
道場,dojo
鹿島,Kashima
緑色,green
ホールディングス,Holdings
南京,Nanjing
見方,way of seeing
ハードウエア,hardware
ガード,guard
法務,legal affairs
玩具,toy
伝達,transmission
伸,Shin
急激,suddenly
リズム,rhythm
起工,groundbreaking
宅,home
不要,Unnecessary
レーザー,laser
栄える,flourish
ボーイング,boeing
毎月,monthly
橋梁,bridge
サイクル,cycle
先駆ける,take the lead
台頭,rise
明かす,reveal
大久保,Okubo
すずき,Suzuki
ゲイ,gay
水路,waterway
プラス,plus
昆虫,insect
刳る,carve out
絞る,squeeze
職人,craftsman
革新,innovation
称える,praise
作風,style
違法,illegal
ベースボール,baseball
オートバイ,motorcycle
吊る,hanging
小松,Komatsu
列島,archipelago
噴火,eruption
涙,tears
浦和,Urawa
烏,crow
技能,Skill
報じる,report
書房,Shobo
鳥類,birds
箱根,Hakone
染色,staining
談,story
踏襲,follow
アドベンチャー,adventure
高層,high rise
武道,martial arts
とても,very
どれ,which one
判事,judge
良好,Good
笹,Bamboo
妊娠,pregnancy
あの,that
同僚,colleague
優位,superiority
小屋,hut
尾張,Owari
みどり,Midori
角度,angle
応える,answer
伊東,Ito
捕獲,capture
オブジェクト,object
興業,entertainment industry
番地,street address
先進,advanced
ミラー,mirror
松田,Matsuda
津波,tsunami
腰,waist
廃棄,Discard
研,Ken
首長,chief
脂肪,fat
用水,water supply
正月,New Year
発症,Onset
覚,Awareness
北海,North Sea
ブライアン,brian
欠く,lack
月曜日,Monday
渓谷,valley
地質,geology
単一,single
滅ぼす,destroy
称賛,praise
イースト,east
墜落,crash
小学生,Elementary school student
見舞う,visit
誼み,Degradation
アルゴリズム,algorithm
ペース,pace
赤字,deficit
軍用,military
テネシー,tennessee
モジュール,module
夏季,summer
誕生日,birthday
ヤマト,Yamato
擁立,support
骨折,fracture
貰う,receive
綿,cotton
旗本,hatamoto
決戦,decisive battle
問,question
触媒,catalyst
天井,ceiling
情勢,situation
陣営,camp
キャスト,cast
礼拝,worship
ルー,Roux
全身,whole body
春日,Kasuga
序盤,early stage
奴,guy
降板,Resignation
友好,friendship
政務,Government affairs
千代田,Chiyoda
紙幣,bill
ドラゴン,dragon
傾斜,slope
楽園,paradise
史跡,historic site
リメイク,remake
ダニエル,Daniel
少,Small
流出,spill
灰,Ash
多大,a great deal
曰く,He says
リンカーン,lincoln
写本,manuscript
電流,current
大山,Daisen
早朝,early morning
呼吸,breathing
公的,public
樽,barrel
捜索,search
鐘,bell
径,diameter
朝日放送,Asahi Broadcasting
瞬間,moment
ピット,pit
幹事,Secretary
民俗,folklore
登る,climb
右翼,right wing
和解,settlement
悟,Satoru
体操,gymnastics
とりわけ,especially
マレーシア,Malaysia
スケール,scale
明く,bright
望遠,telephoto
予防,prevention
ケンタッキー,kentucky
飲食,Eating and drinking
海底,ocean floor
ストア,store
ダート,dirt
ミラノ,milan
総額,total amount
出荷,shipping
役者,actor
クラーク,Clerk
独裁,dictatorship
生態,ecology
カンザス,kansas
特化,Specialized
利く,advantageous
基金,fund
伏見,Fushimi
職務,duties
括弧,brackets
脱,Escape
蟻,ant
遺伝,genetics
ルーム,room
知的,intellectual
いまだ,Still
再婚,remarriage
そうした,I did that
上場,Listed
主権,sovereignty
安い,cheap
オーバー,over-
サンデー,Sunday
親交,friendship
小島,small island
着く,arrive
牧師,pastor
据える,set
頼朝,Yoritomo
狼,wolf
菅,Suga
債,bond
所管,Jurisdiction
展望,Outlook
出張,business trip
辿る,follow
流入,inflow
貨幣,money
運命,destiny
実家,parents' home
肺,lung
破綻,Bankruptcy
照明,illumination
大谷,Otani
出航,Departure
無限,infinite
豆,beans
靖,Yasushi
敵対,hostile
天神,Tenjin
改札口,ticket gate
薬物,drugs
貸す,lend
皇太子,crown prince
八王子,Hachioji
喪失,loss
アントニオ,antonio
オート,auto
先代,predecessor
配下,Subordinate
重奏,Ensemble
荷物,luggage
中東,middle east
句,clause
バス停,bus stop
梨,pear
直轄,Directly under control
要件,requirements
エリック,Eric
雀,sparrow
残存,remaining
サウス,South
コミュニケーション,communication
外科,surgery
釣る,fish
表題,title
就航,Inauguration
討伐,Subjugation
船橋,Funabashi
液晶,liquid crystal
琴,Koto
審,referee
債権,receivables
高木,Takagi
餌,feed
セーブ,save
倉庫,Warehouse
単なる,mere
原田,Harada
シアター,theater
声明,statement
家系,family lineage
セブン,Seven
ブッシュ,bush
ユー,You
市域,City area
弾圧,oppression
シャトル,shuttle
経つ,pass
除去,Removal
旭川,Asahikawa
太字,Bold
鈴,bell
神殿,temple
有数,leading
有馬,Arima
満足,satisfaction
渋滞,traffic jam
硫黄,sulfur
連動,interlocking
電磁,electromagnetic
異例,unusual
急遽,in a hurry
ノーベル,Nobel
公募,Public recruitment
音響,acoustic
蜜,honey
バブル,bubble
マックス,Max
横綱,Yokozuna
競う,compete
南極,Antarctic
予め,in advance
酒井,Sakai
準ずる,conform to
監査,audit
ペン,pen
化粧,makeup
吉川,Yoshikawa
捧げる,devote
工学部,Faculty of Engineering
制圧,control
物体,object
目撃,sighting
見事,splendidly
ノート,Note
棋士,Shogi player
干渉,interference
認証,certification
重大,serious
北上,Kitakami
漏る,leak
ジェイ,Jay
銀座,Ginza
バッハ,bach
昼間,daytime
荒川,Arakawa
踏切,Railroad crossing
農村,rural
モニター,monitor
郵政,Postal service
商工,commerce and industry
撮る,take a picture
堤,bank
叩く,hit
引き渡す,hand over
バルブ,valve
蝶,butterfly
好投,Good pitch
最適,optimal
赤色,red
祝う,celebrate
指令,Command
新生,New birth
ハリー,harry
さようなら,Goodbye
飲料,beverage
旋回,Turning
川口,Kawaguchi
気に入る,I like it
大塚,Otsuka
シード,seed
シミュレーション,simulation
電撃,electric shock
佳,Good
欠場,absent
ロマン,romance
機材,equipment
個性,individuality
スイッチ,switch
パロディ,parody
襲名,Succession of name
不定期,Irregular
フェリー,ferry
ヘッセン,hesse
細い,thin
乾,dry
エディ,eddie
緒,Cord
伝記,biography
マリ,mali
台地,plateau
益,profit
着工,Start of construction
名門,prestigious
丁度,exactly
ロケ,location
救出,rescue
アナウンス,announcement
順調,Going well
ハーフ,half
番手,count
ならびに,as well as
支給,provision
合理,rationality
皮切り,Starting point
センサー,sensor
トニー,tony
整数,integer
御前,Gozen
精,spirit
ソナタ,sonata
その頃,at that time
町立,Municipal
京王,Keio
一門,One family
菊池,Kikuchi
ディスプレー,display
中華,Chinese food
台北,Taipei
土木,Civil engineering
中佐,Lieutenant Colonel
供用,In use
調理,cooking
ターン,turn
クリスチャン,Christian
アンナ,anna
天国,heaven
南米,South America
豚,pig
不動,immovable
付随,accompanying
アイス,ice
色々,various
メニュー,menu
与党,ruling party
中京,Chukyo
各駅,Each station
皇族,imperial family
関節,joint
年中,all year round
野党,opposition party
宮内,Imperial Palace
ギャグ,gag
和平,peace
志願,Volunteer
糖,sugar
硬貨,coin
黒田,Kuroda
寿命,lifespan
前進,forward
軍艦,warship
相違,difference
名目,nominal
便宜,convenience
外野手,outfielder
政界,political world
水野,Mizuno
景観,landscape
創始,Founding
淡路,Awaji
グラウンド,ground
収益,revenue
本町,Honmachi
ライブラリー,Library
ミズーリ,missouri
ニュージャージー,new jersey
盗塁,stolen base
農場,farm
在来,conventional
メトロ,Metro
透ける,transparent
鉱物,mineral
勲,Isao
バルト,Baltic
過,past
俗,vulgarity
攻勢,offensive
入隊,enlistment
川越,Kawagoe
説く,preach
適応,adaptation
牧野,Makino
安田,Yasuda
救済,relief
セッション,session
文法,grammar
名詞,noun
スクリーン,screen
火力,firepower
ビーム,beam
パシフィック,Pacific
補償,compensation
帯びる,take on
鴨,duck
結,Conclusion
白河,Shirakawa
マリオ,Mario
無くなる,disappear
自国,Home country
奇,strange
感謝,thanks
告知,Announcement
パーセント,percent
元帥,Marshal
車輌,vehicle
多発,frequent occurrence
ション,tion
哲,Tetsu
越前,Echizen
出雲,Izumo
啓,Kei
スカイ,sky
首席,chief
混同,Confusion
知らせる,Inform
高野,Takano
チェック,check
進展,progress
親友,Close friend
ビートルズ,the beatles
必殺,special death
正当,legitimate
上空,sky above
佐世保,Sasebo
診療,medical treatment
泊,night
頼む,ask
汲む,pump
ミシシッピ,mississippi
プレゼント,present
落下,falling
運搬,transportation
石田,Ishida
主席,chief
それほど,so
楕円,ellipse
小沢,Ozawa
大王,Great king
好評,Popular
永久,eternal
老人,old man
久保,Kubo
使者,messenger
カップリング,Coupling
謝罪,apology
ワンマン,one man
勢い,momentum
掴む,grab
耐久,Durability
男爵,Baron
セカンド,second
題名,Title
会合,meeting
勧告,recommendation
射程,Range
投球,pitching
集英社,Shueisha
背後,behind
千代,Chiyo
フリゲート,frigate
雇う,hire
シフト,shift
目黒,Meguro
リスナー,listener
多少,somewhat
ルートヴィヒ,ludwig
艦船,ship
バネ,Spring
忠実,faithful
入れ替える,replace
民放,Commercial broadcaster
毎日放送,Broadcast every day
浅野,Asano
旧暦,lunar calendar
根本,root
柴田,Shibata
赴任,Assignment
グラフ,graph
ミシガン,michigan
ウィンブルドン,Wimbledon
県庁,prefectural office
盛り込む,include
師匠,master
主砲,Main gun
石原,Ishihara
過剰,excess
光る,shine
没後,after death
靴,shoes
発祥,Origin
アプリ,app
なかなか,Quite
種別,type
禁,Forbidden
伴,Ban
スターリン,stalin
プレミアム,premium
ダグラス,douglas
